,Amount,Consume,Necessity,Days
3962,84,26,Medium,5
3963,828,22,High,34
3964,625,30,Medium,23
3965,543,12,Low,40
3966,611,47,Medium,13
3967,518,29,High,16
3968,816,16,Medium,52
3969,710,23,High,31
3970,374,40,Low,12
3971,353,8,High,41
3972,325,15,Low,21
3973,918,34,Low,29
3974,733,16,High,44
3975,978,39,Low,22
3976,250,7,High,32
3977,494,38,Medium,12
3978,954,4,Low,213
3979,373,1,Medium,233
3980,84,45,Medium,1
3981,531,29,High,19
3982,777,18,High,42
3983,529,12,Low,39
3984,114,31,High,3
3985,57,25,Medium,1
3986,350,49,Medium,5
3987,392,49,Medium,7
3988,480,32,Low,15
3989,473,22,High,15
3990,381,25,Medium,15
3991,487,34,Low,15
3992,637,5,High,107
3993,223,17,High,12
3994,608,4,Medium,133
3995,576,4,Low,126
3996,922,10,Medium,86
3997,708,24,Medium,26
3998,869,24,Medium,35
3999,654,17,Low,38
4000,455,5,Low,90
4001,281,27,Medium,9
4002,582,14,Medium,40
4003,868,31,High,28
4004,599,48,High,10
4005,837,6,Low,129
4006,554,11,Low,48
4007,718,24,Low,30
4008,228,48,High,3
4009,181,38,Medium,2
4010,872,45,Medium,19
4011,504,17,High,29
4012,397,49,Medium,7
4013,589,6,Medium,92
4014,821,3,Medium,229
4015,455,42,High,15
4016,125,46,Low,4
4017,990,5,Medium,178
4018,628,6,Medium,94
4019,541,6,Medium,87
4020,243,11,Medium,19
4021,211,48,Low,2
4022,396,33,High,13
4023,1000,39,High,27
4024,410,39,Medium,10
4025,818,27,Medium,31
4026,633,40,Low,14
4027,136,30,Low,3
4028,983,16,Medium,59
4029,311,28,Medium,7
4030,263,27,High,9
4031,714,41,High,20
4032,771,49,High,18
4033,962,21,High,45
4034,622,38,Low,15
4035,829,5,High,144
4036,311,39,High,7
4037,779,19,Medium,39
4038,332,2,High,115
4039,697,18,Medium,33
4040,516,30,Medium,16
4041,429,6,High,62
4042,411,46,High,9
4043,498,4,Medium,102
4044,490,46,Low,10
4045,142,35,Medium,4
4046,670,17,Low,38
4047,802,20,Low,39
4048,916,37,High,26
4049,473,30,High,16
4050,191,33,High,6
4051,340,20,High,13
4052,481,24,Medium,20
4053,798,49,Low,14
4054,901,11,Medium,82
4055,873,21,Low,40
4056,738,15,Medium,47
4057,702,38,Low,21
4058,750,38,High,21
4059,98,15,Low,5
4060,351,4,High,68
4061,239,21,Medium,8
4062,185,21,Low,9
4063,604,49,Medium,11
4064,453,24,Medium,16
4065,941,13,High,68
4066,914,44,Low,23
4067,651,25,Medium,28
4068,856,30,Low,31
4069,390,5,High,67
4070,806,19,High,42
4071,994,47,Low,22
4072,753,29,Medium,28
4073,367,17,Medium,20
4074,667,31,Medium,19
4075,412,45,Low,7
4076,871,14,Medium,60
4077,431,25,Medium,16
4078,282,47,Medium,6
4079,826,9,High,84
4080,393,36,Medium,13
4081,598,31,Low,16
4082,866,34,Low,27
4083,602,18,Medium,32
4084,578,16,Low,38
4085,905,34,Low,22
4086,838,11,Medium,74
4087,868,21,High,38
4088,620,10,Medium,58
4089,232,48,Low,6
4090,90,22,Medium,1
4091,446,7,High,59
4092,753,29,Medium,26
4093,828,10,Low,76
4094,543,39,High,15
4095,708,39,Low,18
4096,956,6,High,143
4097,382,45,Low,8
4098,176,10,Medium,17
4099,607,31,Low,20
4100,606,49,Medium,11
4101,50,44,High,2
4102,217,47,High,4
4103,669,17,Low,33
4104,68,6,Medium,8
4105,381,10,Medium,37
4106,633,25,High,26
4107,505,39,High,11
4108,158,8,Low,20
4109,317,33,High,10
4110,494,16,High,28
4111,289,17,Medium,17
4112,978,33,Medium,30
4113,350,23,Medium,16
4114,651,40,High,17
4115,152,8,Low,15
4116,299,39,Low,6
4117,502,4,High,123
4118,569,10,Low,55
4119,202,33,High,7
4120,908,42,Low,22
4121,223,13,High,18
4122,392,17,Medium,23
4123,719,27,Low,25
4124,480,11,Medium,43
4125,776,40,Medium,18
4126,738,38,Low,22
4127,736,8,High,93
4128,901,23,Medium,39
4129,899,38,Medium,20
4130,707,17,High,38
4131,373,32,High,9
4132,722,3,Low,209
4133,688,30,Low,24
4134,469,8,High,54
4135,643,41,Medium,14
4136,708,14,Low,46
4137,800,42,Medium,19
4138,461,3,Medium,132
4139,985,20,Low,46
4140,133,19,Medium,7
4141,162,14,High,12
4142,786,45,Low,14
4143,381,37,Medium,10
4144,427,4,Low,99
4145,804,36,Medium,21
4146,704,26,High,27
4147,90,45,Low,4
4148,984,16,Medium,59
4149,819,29,High,27
4150,846,25,High,32
4151,154,24,High,3
4152,251,23,Medium,11
4153,499,11,Medium,43
4154,868,38,High,23
4155,892,23,High,37
4156,315,47,High,5
4157,959,13,High,70
4158,259,34,High,8
4159,612,47,Medium,14
4160,167,33,Low,5
4161,762,43,Low,15
4162,426,41,Low,10
4163,600,18,Medium,31
4164,589,30,Low,18
4165,820,8,Low,94
4166,133,27,Low,3
4167,503,12,Low,40
4168,716,37,High,18
4169,678,26,Medium,24
4170,563,21,Low,24
4171,654,14,High,43
4172,727,49,Low,17
4173,436,4,Low,96
4174,399,11,Low,37
4175,345,48,Low,9
4176,307,48,High,3
4177,130,33,Low,6
4178,986,44,High,22
4179,317,11,Low,27
4180,468,48,Medium,8
4181,284,7,High,34
4182,882,5,Low,148
4183,360,6,High,60
4184,862,29,Low,26
4185,406,39,Low,14
4186,262,18,High,16
4187,623,48,Low,12
4188,98,22,Low,3
4189,176,8,Low,18
4190,272,23,Low,9
4191,970,34,Low,27
4192,328,41,Low,7
4193,457,23,High,19
4194,554,30,Medium,19
4195,343,14,Low,25
4196,845,32,High,26
4197,326,49,Medium,6
4198,487,3,High,145
4199,156,44,Medium,5
4200,707,28,Medium,25
4201,469,13,Medium,34
4202,660,47,High,16
4203,478,24,Medium,21
4204,424,17,Low,24
4205,122,9,Low,8
4206,998,12,Medium,77
4207,683,41,Medium,14
4208,79,31,Low,3
4209,237,45,High,5
4210,413,12,High,30
4211,915,6,Low,132
4212,500,25,High,19
4213,244,49,Medium,4
4214,205,35,High,5
4215,221,16,Low,13
4216,896,43,High,23
4217,90,39,Medium,4
4218,112,1,Low,62
4219,409,15,Low,25
4220,124,8,Medium,15
4221,609,12,Low,51
4222,721,23,Medium,29
4223,874,21,Medium,37
4224,167,15,High,10
4225,661,9,Low,69
4226,429,38,High,9
4227,978,49,High,21
4228,969,39,Medium,24
4229,728,15,High,44
4230,339,12,High,30
4231,489,11,High,42
4232,717,7,Low,94
4233,982,28,High,37
4234,245,35,Low,7
4235,470,34,Medium,9
4236,617,15,Low,42
4237,882,17,Low,51
4238,242,34,Low,8
4239,608,18,Medium,33
4240,197,11,High,20
4241,836,19,Low,45
4242,718,14,Medium,44
4243,251,5,Low,48
4244,493,41,High,11
4245,963,42,Low,23
4246,468,11,Medium,40
4247,476,4,Low,112
4248,528,37,Medium,13
4249,524,11,High,44
4250,175,20,High,11
4251,444,4,Low,107
4252,866,12,High,72
4253,930,39,Medium,23
4254,855,40,Low,19
4255,625,11,Medium,57
4256,374,17,Low,24
4257,441,7,Medium,55
4258,979,4,Low,211
4259,737,49,Medium,16
4260,677,33,Medium,18
4261,489,27,Low,19
4262,253,38,Medium,6
4263,535,42,High,11
4264,882,40,Medium,16
4265,80,1,Low,43
4266,437,10,High,42
4267,674,33,High,23
4268,926,19,Medium,48
4269,483,49,Medium,8
4270,886,33,Medium,23
4271,975,47,High,22
4272,425,10,High,39
4273,393,43,High,8
4274,492,16,Low,28
4275,628,49,Low,15
4276,124,8,Medium,16
4277,606,26,Low,21
4278,821,39,Low,16
4279,715,22,Medium,31
4280,204,23,Medium,8
4281,479,49,High,9
4282,412,21,High,15
4283,497,30,Medium,19
4284,283,3,Medium,73
4285,612,42,Low,12
4286,867,32,Low,24
4287,311,20,Low,12
4288,174,29,Medium,5
4289,591,31,High,16
4290,987,10,Medium,99
4291,534,10,Low,53
4292,171,33,High,3
4293,174,3,Medium,48
4294,598,16,High,38
4295,219,8,Low,24
4296,173,29,High,6
4297,918,33,High,26
4298,136,13,Low,10
4299,695,5,High,130
4300,757,4,Medium,155
4301,835,21,Low,36
4302,250,47,Medium,9
4303,418,11,Low,34
4304,846,13,Medium,63
4305,126,5,Medium,22
4306,480,34,High,15
4307,687,32,High,21
4308,549,43,Medium,12
4309,962,24,Low,38
4310,158,7,Medium,21
4311,785,15,High,47
4312,327,33,Low,9
4313,117,31,High,4
4314,118,27,Medium,8
4315,214,34,High,3
4316,538,32,High,17
4317,354,44,High,7
4318,958,29,Medium,33
4319,723,39,High,20
4320,414,13,Medium,29
4321,903,34,Medium,30
4322,870,45,High,21
4323,428,19,Low,23
4324,392,39,High,9
4325,996,36,High,26
4326,948,3,High,242
4327,603,29,Low,19
4328,403,7,Low,53
4329,465,48,Medium,13
4330,158,40,Low,4
4331,612,6,Low,97
4332,811,6,High,120
4333,546,30,Medium,18
4334,390,17,Medium,20
4335,432,27,Low,18
4336,582,20,High,28
4337,349,5,Low,52
4338,408,45,Medium,5
4339,885,38,Low,22
4340,548,41,High,12
4341,434,11,Medium,38
4342,653,13,Medium,44
4343,329,11,Low,29
4344,686,38,High,19
4345,532,47,Medium,10
4346,958,36,High,25
4347,160,44,High,1
4348,915,32,Low,30
4349,188,19,High,6
4350,484,21,Medium,25
4351,558,4,Low,118
4352,322,2,Medium,124
4353,148,35,High,5
4354,813,22,High,37
4355,899,28,Low,32
4356,153,28,Low,6
4357,263,14,Medium,18
4358,810,24,Medium,34
4359,713,24,High,32
4360,811,20,Low,40
4361,836,41,High,21
4362,214,23,High,4
4363,902,30,Medium,30
4364,569,44,Medium,17
4365,333,43,Medium,4
4366,566,44,Low,16
4367,706,14,Medium,51
4368,662,2,Low,240
4369,213,13,High,15
4370,935,14,Low,64
4371,708,45,Medium,17
4372,113,32,Low,2
4373,140,5,Low,29
4374,166,7,Medium,24
4375,915,8,Medium,107
4376,316,31,High,12
4377,871,37,Low,22
4378,734,43,High,18
4379,608,47,High,17
4380,189,10,Low,15
4381,295,16,High,19
4382,710,12,Low,53
4383,807,18,High,45
4384,444,45,High,5
4385,536,29,Low,17
4386,525,37,Medium,18
4387,566,25,Low,21
4388,233,2,Medium,96
4389,69,4,Low,19
4390,986,27,Low,35
4391,607,36,Medium,12
4392,573,11,Medium,47
4393,631,36,Low,19
4394,578,40,Low,17
4395,932,21,Low,39
4396,196,37,Medium,3
4397,715,20,Low,33
4398,353,34,Medium,9
4399,669,38,High,15
4400,797,49,Medium,16
4401,869,17,High,47
4402,913,21,Low,42
4403,631,9,Low,66
4404,744,10,Medium,69
4405,811,34,High,20
4406,277,45,Low,6
4407,151,20,Low,9
4408,636,9,High,68
4409,466,14,Low,32
4410,265,23,Low,11
4411,456,15,Medium,26
4412,448,12,Low,38
4413,972,37,High,26
4414,753,27,Medium,28
4415,810,39,Low,20
4416,548,14,High,39
4417,803,30,Low,25
4418,514,33,High,16
4419,740,33,Medium,19
4420,998,22,Low,40
4421,780,17,Low,41
4422,131,41,Medium,5
4423,653,38,High,18
4424,996,16,High,58
4425,736,6,Low,120
4426,800,4,High,176
4427,821,5,High,146
4428,952,29,Low,34
4429,414,3,High,121
4430,212,17,High,11
4431,97,37,Low,6
4432,560,15,Low,36
4433,378,38,High,10
4434,889,37,Low,25
4435,165,13,High,14
4436,990,36,High,30
4437,898,37,High,21
4438,386,20,High,19
4439,930,11,Low,84
4440,786,26,Low,27
4441,913,46,Medium,16
4442,889,32,Low,24
4443,196,9,Medium,20
4444,624,34,High,22
4445,855,21,Low,35
4446,372,29,High,10
4447,492,36,Medium,12
4448,886,26,Low,31
4449,992,36,Low,23
4450,543,31,Low,16
4451,750,8,High,93
4452,336,41,Low,9
4453,769,46,Medium,18
4454,163,7,Low,19
4455,529,24,Medium,19
4456,71,13,Medium,6
4457,398,37,High,10
4458,775,36,Low,21
4459,732,7,Medium,95
4460,884,43,Low,18
4461,615,9,High,60
4462,955,40,High,25
4463,859,23,Low,38
4464,369,17,Medium,19
4465,175,8,High,20
4466,326,9,Medium,31
4467,253,33,Medium,8
4468,243,27,Low,7
4469,730,6,High,104
4470,713,6,Low,107
4471,596,4,Low,133
4472,745,37,Low,20
4473,335,35,Medium,11
4474,106,3,Low,27
4475,783,28,High,29
4476,352,5,Medium,64
4477,212,45,Low,4
4478,68,45,High,3
4479,419,35,Low,7
4480,313,46,Low,7
4481,843,40,Low,21
4482,162,41,Medium,3
4483,537,28,Low,20
4484,376,15,High,25
4485,591,11,Low,49
4486,696,17,Low,40
4487,628,31,Medium,17
4488,114,9,Low,12
4489,341,13,High,25
4490,74,23,High,3
4491,598,12,Low,48
4492,960,46,High,17
4493,598,37,Low,16
4494,190,33,High,5
4495,793,29,High,24
4496,697,24,Low,26
4497,950,10,Medium,95
4498,237,44,Medium,7
4499,177,13,Low,14
4500,250,5,Medium,45
4501,176,37,Medium,3
4502,306,9,Medium,34
4503,725,19,Medium,37
4504,596,2,Low,250
4505,243,7,Medium,29
4506,752,9,Medium,78
4507,153,3,Low,36
4508,584,33,Low,16
4509,314,42,Medium,4
4510,851,19,High,44
4511,991,43,Low,21
4512,433,11,Low,37
4513,309,16,Medium,22
4514,463,8,High,53
4515,407,31,Low,13
4516,124,21,Low,6
4517,404,31,Low,11
4518,633,38,High,18
4519,820,27,Low,32
4520,959,31,Low,32
4521,237,46,High,3
4522,734,15,Low,45
4523,339,18,High,14
4524,94,36,High,2
4525,622,30,High,19
4526,132,9,Medium,15
4527,172,19,Low,12
4528,407,23,Low,14
4529,577,21,Low,27
4530,115,9,High,11
4531,985,46,Medium,20
4532,706,38,High,21
4533,424,24,Low,17
4534,211,34,High,7
4535,795,44,Medium,18
4536,429,7,Low,56
4537,705,13,High,51
4538,407,27,Medium,18
4539,237,40,High,5
4540,371,2,High,134
4541,499,49,Low,10
4542,523,23,Medium,18
4543,62,18,High,1
4544,233,15,Medium,15
4545,160,9,Low,15
4546,976,39,Low,25
4547,557,47,Low,9
4548,339,21,Medium,15
4549,344,47,Medium,3
4550,500,41,High,13
4551,953,24,Medium,39
4552,264,34,Low,8
4553,681,22,High,30
4554,943,28,Medium,31
4555,616,3,Low,163
4556,76,35,Low,5
4557,679,3,High,189
4558,782,41,Low,17
4559,280,41,Medium,3
4560,614,12,Low,49
4561,856,16,High,49
4562,370,24,Low,14
4563,962,30,Low,33
4564,282,15,Medium,16
4565,719,30,Medium,27
4566,486,15,Medium,29
4567,830,3,Medium,219
4568,452,5,Medium,76
4569,102,39,Low,2
4570,836,48,Medium,17
4571,362,21,Medium,15
4572,330,26,Medium,11
4573,775,8,Low,92
4574,80,28,Medium,3
4575,386,8,Low,49
4576,232,30,Medium,7
4577,593,10,High,56
4578,495,38,Medium,15
4579,123,2,Low,56
4580,533,6,Low,83
4581,505,18,Low,28
4582,615,9,High,66
4583,613,19,Medium,33
4584,709,21,High,33
4585,209,15,Low,11
4586,931,33,Medium,26
4587,227,20,Low,12
4588,461,10,Medium,42
4589,927,14,Low,64
4590,457,29,Medium,18
4591,896,23,High,38
4592,71,8,Medium,9
4593,79,23,Low,6
4594,752,14,Medium,49
4595,309,47,Low,8
4596,254,44,Medium,5
4597,108,5,Medium,23
4598,520,26,High,18
4599,825,12,Medium,69
4600,515,21,Medium,25
4601,680,26,Low,24
4602,976,17,Low,55
4603,339,11,Medium,32
4604,899,40,Low,26
4605,809,31,Low,28
4606,403,23,Medium,19
4607,688,11,Low,50
4608,124,17,High,7
4609,922,48,High,19
4610,765,26,Low,30
4611,610,20,Low,26
4612,640,26,Low,25
4613,490,39,Medium,8
4614,290,17,High,18
4615,910,9,High,89
4616,203,29,Low,9
4617,835,33,Low,27
4618,145,35,Medium,3
4619,775,44,Medium,18
4620,343,19,High,17
4621,258,4,Medium,52
4622,392,47,High,9
4623,137,22,Low,8
4624,867,31,Low,26
4625,825,33,High,25
4626,986,27,Low,33
4627,439,11,Medium,41
4628,374,38,Low,9
4629,989,40,Low,24
4630,938,28,High,34
4631,881,24,Medium,38
4632,206,6,Medium,32
4633,717,5,Low,138
4634,700,17,Low,38
4635,682,16,Medium,41
4636,626,47,Medium,14
4637,668,39,High,14
4638,708,33,Low,21
4639,186,26,Low,8
4640,972,9,Medium,104
4641,723,48,High,18
4642,477,19,Medium,23
4643,501,6,Low,80
4644,661,25,Low,22
4645,899,43,Low,19
4646,960,44,Low,21
4647,190,44,Low,2
4648,132,14,Medium,8
4649,226,2,High,78
4650,247,42,High,1
4651,673,43,Low,11
4652,617,30,High,19
4653,740,29,Low,25
4654,470,40,High,9
4655,450,39,High,11
4656,747,44,Medium,17
4657,520,28,Medium,20
4658,267,48,Medium,8
4659,974,49,High,16
4660,978,6,Medium,144
4661,877,42,Medium,18
4662,778,25,Medium,32
4663,681,19,High,32
4664,1000,31,Low,32
4665,955,3,Medium,252
4666,224,25,High,7
4667,774,11,Low,68
4668,966,21,Medium,41
4669,284,47,High,9
4670,62,21,High,3
4671,150,18,High,6
4672,978,22,Low,43
4673,585,26,Medium,20
4674,925,31,High,26
4675,572,40,High,15
4676,834,23,High,38
4677,501,41,High,12
4678,480,27,Medium,15
4679,842,17,Medium,46
4680,655,33,High,22
4681,762,36,High,22
4682,582,28,High,18
4683,901,3,Low,237
4684,772,9,Low,83
4685,701,14,Low,46
4686,342,14,High,27
4687,859,33,Low,23
4688,150,38,Low,4
4689,551,14,High,36
4690,353,16,Medium,17
4691,920,26,High,33
4692,589,11,Medium,51
4693,602,44,Low,16
4694,404,5,Low,76
4695,352,22,Medium,16
4696,545,42,Medium,12
4697,707,31,High,26
4698,817,15,Medium,53
4699,276,21,High,11
4700,285,35,Medium,8
4701,922,48,Medium,19
4702,941,44,Low,23
4703,504,17,Low,28
4704,62,49,High,2
4705,259,1,High,217
4706,446,41,Medium,10
4707,149,10,Medium,14
4708,80,3,High,18
4709,947,12,Medium,75
4710,577,21,Low,25
4711,698,36,Medium,22
4712,378,31,Low,11
4713,215,12,High,17
4714,508,25,Medium,19
4715,871,46,High,18
4716,149,40,Low,4
4717,670,16,High,40
4718,904,49,Low,17
4719,222,35,Low,6
4720,798,4,High,196
4721,211,2,Low,78
4722,954,9,High,105
4723,777,36,High,23
4724,825,10,High,80
4725,312,26,Low,5
4726,853,5,Low,157
4727,323,46,Medium,8
4728,52,17,High,3
4729,375,47,High,3
4730,198,23,High,7
4731,537,45,High,15
4732,871,26,Medium,33
4733,487,4,Medium,105
4734,114,6,High,16
4735,405,19,High,19
4736,582,47,Medium,9
4737,301,34,Medium,6
4738,284,43,High,4
4739,276,18,High,13
4740,574,3,Medium,180
4741,362,48,Medium,5
4742,98,1,High,53
4743,103,19,High,8
4744,614,34,High,19
4745,93,49,High,2
4746,864,48,High,18
4747,102,8,Medium,12
4748,635,9,High,64
4749,607,28,High,21
4750,574,32,Medium,14
4751,726,37,Low,19
4752,151,9,Low,16
4753,841,47,Medium,18
4754,819,32,High,27
4755,898,42,Low,24
4756,917,27,Low,32
4757,447,21,Medium,18
4758,187,48,Low,6
4759,724,29,Low,25
4760,970,43,Medium,21
4761,436,47,Low,8
4762,160,34,High,4
4763,663,27,Medium,24
4764,66,1,High,59
4765,231,10,Medium,21
4766,933,10,Low,92
4767,585,13,Medium,39
4768,590,15,Low,42
4769,220,18,High,12
4770,458,21,Low,23
4771,789,5,High,131
4772,427,3,High,142
4773,237,34,High,6
4774,907,27,Medium,28
4775,279,22,Low,9
4776,882,32,Low,25
4777,901,41,Low,20
4778,168,21,High,5
4779,205,32,Medium,7
4780,833,47,Low,17
4781,736,42,Low,18
4782,514,21,Medium,24
4783,153,32,Low,4
4784,653,9,Medium,64
4785,747,28,Medium,23
4786,844,49,Low,14
4787,551,26,Medium,18
4788,742,46,Medium,19
4789,731,20,Low,31
4790,748,49,High,17
4791,224,29,Low,5
4792,783,3,Low,252
4793,794,29,High,27
4794,723,14,Medium,52
4795,470,2,Low,178
4796,183,41,High,4
4797,440,14,High,32
4798,785,40,Low,21
4799,550,15,Low,33
4800,714,10,High,67
4801,104,18,High,6
4802,568,30,Low,18
4803,805,30,High,27
4804,874,28,Low,28
4805,687,45,Low,13
4806,61,34,Low,3
4807,577,20,Medium,29
4808,769,43,Low,21
4809,604,9,High,64
4810,422,27,High,11
4811,533,47,Medium,13
4812,696,31,Medium,21
4813,277,41,Medium,8
4814,672,33,Low,19
4815,356,42,Low,6
4816,506,47,High,10
4817,209,14,High,14
4818,380,9,Low,41
4819,825,24,High,35
4820,274,35,Low,5
4821,778,12,Medium,61
4822,505,17,Low,27
4823,263,35,High,6
4824,108,20,Low,5
4825,693,10,Low,62
4826,665,18,Low,34
4827,244,9,Medium,26
4828,974,6,Low,157
4829,538,45,Low,11
4830,206,49,Low,4
4831,659,9,High,72
4832,275,3,Medium,72
4833,461,17,Medium,24
4834,254,23,Low,16
4835,128,11,Low,12
4836,173,15,High,13
4837,520,10,Low,49
4838,989,38,High,28
4839,267,35,Low,8
4840,565,32,High,13
4841,651,19,Medium,30
4842,153,45,Low,3
4843,442,48,High,9
4844,680,9,High,71
4845,694,11,Low,55
4846,873,26,High,31
4847,657,5,Low,120
4848,483,22,Low,21
4849,380,29,High,14
4850,192,26,High,5
4851,849,17,High,50
4852,589,27,Medium,20
4853,327,47,Low,6
4854,282,11,Low,25
4855,578,33,Medium,14
4856,620,3,Medium,198
4857,139,4,High,35
4858,541,28,Low,16
4859,248,6,Medium,44
4860,411,2,Medium,194
4861,490,9,Low,53
4862,74,35,Low,6
4863,443,10,High,38
4864,556,33,Medium,16
4865,350,9,High,34
4866,388,31,Low,12
4867,316,21,Low,15
4868,510,33,Medium,14
4869,742,49,High,13
4870,505,46,High,10
4871,117,44,Low,3
4872,912,4,Medium,215
4873,461,47,High,11
4874,540,14,Low,37
4875,882,19,Low,44
4876,98,5,High,17
4877,736,6,Medium,110
4878,613,36,Medium,17
4879,151,47,High,5
4880,265,30,Low,7
4881,487,36,Low,12
4882,749,38,High,22
4883,618,13,Low,47
4884,608,3,Low,187
4885,208,1,High,195
4886,538,18,Low,30
4887,735,12,High,59
4888,291,4,High,71
4889,843,9,High,86
4890,802,7,Low,113
4891,931,45,High,18
4892,54,7,Low,10
4893,645,27,High,23
4894,869,30,Medium,27
4895,410,27,Low,12
4896,508,5,Low,87
4897,297,16,Low,18
4898,615,3,Medium,173
4899,722,20,High,35
4900,995,10,Medium,98
4901,471,28,High,15
4902,972,34,High,28
4903,787,27,High,29
4904,64,22,High,2
4905,785,19,High,37
4906,622,42,Medium,15
4907,171,11,Low,10
4908,326,36,Medium,11
4909,607,38,Low,18
4910,502,21,Low,21
4911,439,15,Low,25
4912,343,24,Medium,16
4913,623,5,High,111
4914,647,3,High,199
4915,495,6,Low,76
4916,259,10,High,22
4917,639,25,High,26
4918,763,42,Medium,18
4919,351,12,High,28
4920,958,46,High,15
4921,272,47,Medium,6
4922,783,47,High,17
4923,52,42,Low,1
4924,567,18,Medium,32
4925,142,4,High,33
4926,569,28,High,20
4927,477,28,Medium,13
4928,542,42,Low,10
4929,284,49,Medium,4
4930,669,25,Low,25
4931,210,17,Medium,13
4932,770,10,High,76
4933,380,25,Medium,15
4934,382,28,Low,11
4935,99,41,Medium,3
4936,572,25,Low,22
4937,912,45,Medium,20
4938,717,31,High,24
4939,541,42,Medium,12
4940,631,8,High,72
4941,730,42,Low,15
4942,321,34,Low,10
4943,629,9,Low,66
4944,916,10,Low,87
4945,301,46,Medium,6
4946,609,2,Medium,238
4947,745,23,Medium,32
4948,881,16,High,57
4949,748,33,Medium,23
4950,139,42,High,4
4951,495,18,High,26
4952,381,21,Medium,14
4953,188,49,High,4
4954,406,39,Low,10
4955,650,44,Medium,15
4956,323,22,Medium,14
4957,68,12,High,5
4958,360,21,Medium,19
4959,919,36,Medium,24
4960,935,6,High,148
4961,203,14,Medium,16
4962,439,3,Medium,132
4963,309,22,Medium,13
4964,669,41,High,14
4965,846,34,Medium,28
4966,620,46,Medium,19
4967,174,12,Low,14
4968,403,34,Medium,10
4969,322,48,High,10
4970,668,48,Low,15
4971,860,12,High,67
4972,294,5,Medium,47
4973,897,8,Medium,110
4974,499,35,Medium,14
4975,979,36,Low,29
4976,296,34,Medium,10
4977,569,17,High,30
4978,190,9,Low,18
4979,411,29,High,12
4980,57,24,High,2
4981,527,36,High,14
4982,401,22,High,16
4983,544,17,High,30
4984,655,15,Medium,43
4985,882,11,High,77
4986,476,14,High,32
4987,88,5,Medium,12
4988,642,17,Low,33
4989,236,2,Medium,86
4990,645,10,Low,62
4991,649,37,High,20
4992,803,16,Medium,48
4993,903,33,Low,25
4994,142,36,Low,2
4995,93,47,Medium,1
4996,186,2,Medium,94
4997,470,37,Medium,15
4998,123,47,Medium,5
4999,597,43,High,15
5000,662,9,High,71
5001,561,17,Medium,33
5002,205,9,Medium,22
5003,987,30,High,32
5004,304,35,Low,6
5005,220,16,High,13
5006,777,27,Medium,25
5007,219,34,Low,7
5008,813,21,Medium,35
5009,921,42,Low,22
5010,371,38,Medium,7
5011,616,4,High,147
5012,505,31,Medium,16
5013,993,12,High,78
5014,652,28,Low,24
5015,839,47,High,18
5016,662,44,Low,14
5017,204,20,Medium,8
5018,938,15,High,60
5019,398,12,Low,30
5020,500,27,Low,22
5021,925,6,Low,138
5022,702,27,Low,27
5023,222,1,Medium,208
5024,59,16,Medium,2
5025,789,11,Medium,67
5026,314,48,Low,6
5027,487,36,Medium,9
5028,809,18,Low,44
5029,296,5,Low,53
5030,716,26,Low,26
5031,595,11,High,47
5032,548,27,Medium,19
5033,178,41,Medium,7
5034,650,32,High,18
5035,654,27,High,25
5036,376,46,High,5
5037,802,46,Low,17
5038,884,26,Medium,34
5039,453,15,Medium,27
5040,678,23,Medium,30
5041,655,10,Low,66
5042,724,32,Medium,20
5043,660,25,High,25
5044,674,6,Medium,109
5045,408,10,Medium,37
5046,652,24,Low,27
5047,907,44,High,20
5048,767,28,High,28
5049,323,17,Medium,18
5050,734,28,High,26
5051,165,22,High,7
5052,910,33,Medium,24
5053,742,3,Low,211
5054,140,25,Medium,7
5055,131,15,Low,7
5056,373,16,Low,20
5057,163,48,High,2
5058,818,9,High,81
5059,107,16,Medium,8
5060,203,25,Low,4
5061,926,43,Medium,22
5062,453,21,High,24
5063,677,37,Low,19
5064,904,42,High,25
5065,315,16,High,18
5066,364,20,High,19
5067,764,18,Low,41
5068,90,41,Low,1
5069,154,3,High,44
5070,950,16,Low,58
5071,939,34,High,29
5072,242,28,High,5
5073,450,22,High,24
5074,327,27,Low,12
5075,403,10,Medium,35
5076,798,22,Medium,36
5077,986,25,Low,39
5078,782,45,Low,16
5079,629,13,High,44
5080,758,43,High,21
5081,305,32,Medium,8
5082,873,36,Medium,26
5083,710,49,Low,15
5084,148,43,Low,2
5085,331,13,Medium,25
5086,932,19,Low,45
5087,452,18,Medium,25
5088,158,19,Low,6
5089,749,16,Medium,45
5090,248,31,High,10
5091,352,9,High,34
5092,376,42,Medium,8
5093,203,40,Medium,1
5094,601,24,High,24
5095,694,42,Medium,16
5096,454,13,Medium,33
5097,181,31,Medium,7
5098,840,23,Low,32
5099,923,28,High,33
5100,133,45,Low,1
5101,448,48,Medium,7
5102,803,32,Medium,25
5103,677,38,Low,19
5104,158,5,Medium,34
5105,270,8,Medium,29
5106,953,36,Low,23
5107,602,22,Medium,27
5108,417,22,High,15
5109,196,16,Low,13
5110,161,30,Low,6
5111,664,10,Low,68
5112,607,31,Low,21
5113,973,9,High,102
5114,543,4,Low,131
5115,554,17,Low,30
5116,524,12,Medium,40
5117,885,44,Low,19
5118,939,3,Medium,252
5119,320,9,Low,32
5120,470,27,Low,15
5121,946,24,High,39
5122,756,3,Medium,232
5123,329,49,Medium,6
5124,332,33,Low,7
5125,89,18,High,5
